Location,Station_ID,Transect,Distance,Long,Lat,Dist_urban (m),Dist_roads (m),Dist_edge (m),Elev (m),
Joice Island,JOI_T2_100,T2,100,-121.9945,38.1926,4765.3628,173.9691,32.4324,1.9920,
Mallard Slough,MLD_T1_20,T1,20,-121.9687,37.4453,934.4647,1075.0984,8.6416,2.2582,
Mallard Slough,MLD_T1_40,T1,40,-121.9685,37.4453,941.0880,1077.9773,28.3083,2.2078,
Mallard Slough,MLD_T1_60,T1,60,-121.9683,37.4453,948.0872,1081.2188,47.9751,2.2480,
Mallard Slough,MLD_T1_80,T1,80,-121.9680,37.4453,955.3504,1084.7101,61.6156,2.2254,
Mallard Slough,MLD_T2_20,T2,20,-121.9635,37.4440,600.3090,1098.3568,15.9367,2.2589,
Mallard Slough,MLD_T2_40,T2,40,-121.9633,37.4441,592.1400,1114.4444,35.1708,2.2636,
Mallard Slough,MLD_T2_60,T2,60,-121.9630,37.4441,584.6873,1130.7026,54.3364,2.2385,
Mariner's Point,MAR_T1_20,T1,20,-122.2909,37.5712,42.6199,81.4321,11.8463,1.8546,
Mariner's Point,MAR_T1_40,T1,40,-122.2908,37.5713,58.7348,97.1788,30.5428,1.8248,
Mariner's Point,MAR_T1_60,T1,60,-122.2906,37.5715,75.0401,110.7173,49.9881,1.7494,
Mariner's Point,MAR_T1_80,T1,80,-122.2905,37.5716,92.6581,125.7168,70.4092,1.8816,
Mariner's Point,MAR_T1_100,T1,100,-122.2903,37.5718,110.4399,141.0383,90.9457,1.8142,
Mariner's Point,MAR_T1_120,T1,120,-122.2902,37.5719,126.6636,155.0575,109.7128,1.7954,
Mariner's Point,MAR_T1_140,T1,140,-122.2900,37.5720,143.8925,169.5906,121.9625,1.8373,
Mariner's Point,MAR_T1_160,T1,160,-122.2899,37.5721,159.0653,179.9461,133.5492,1.7355,
Mariner's Point,MAR_T1_180,T1,180,-122.2897,37.5723,177.0369,193.1258,144.0747,1.7686,
Mariner's Point,MAR_T1_200,T1,200,-122.2895,37.5724,197.3605,209.1639,135.3949,1.5925,
Mariner's Point,MAR_T2_20,T2,20,-122.2895,37.5728,233.9610,247.2491,97.1731,1.7812,
Mariner's Point,MAR_T2_40,T2,40,-122.2895,37.5726,216.8188,227.2213,116.4260,1.8192,
Mariner's Point,MAR_T2_60,T2,60,-122.2894,37.5724,201.4277,208.0033,135.0657,1.8093,
Mariner's Point,MAR_T2_80,T2,80,-122.2894,37.5723,185.1945,188.8326,154.0372,1.8067,
Mariner's Point,MAR_T2_100,T2,100,-122.2893,37.5721,168.3445,168.6087,135.9408,1.7790,
Mariner's Point,MAR_T2_120,T2,120,-122.2893,37.5719,152.2823,149.6658,117.4934,1.8134,
Mariner's Point,MAR_T2_140,T2,140,-122.2893,37.5717,136.2215,130.9822,99.2262,1.8828,
Mariner's Point,MAR_T2_160,T2,160,-122.2892,37.5716,118.5344,111.4352,79.8195,1.8497,
Mariner's Point,MAR_T2_180,T2,180,-122.2892,37.5714,101.1728,91.9071,60.3921,1.8473,
Mariner's Point,MAR_T2_200,T2,200,-122.2892,37.5712,85.3154,71.1898,40.3273,1.8309,
Marta,MTA_T1_20,T1,20,-122.5011,37.9259,45.6807,135.5023,6.6956,1.9097,
Marta,MTA_T1_40,T1,40,-122.5014,37.9260,54.5452,143.6647,13.8128,1.6645,
Marta,MTA_T2_20,T2,20,-122.5028,37.9249,53.5313,119.4498,15.1138,1.4833,
Marta,MTA_T2_40,T2,40,-122.5029,37.9251,67.2433,134.0485,30.8810,1.3445,
Marta,MTA_T2_60,T2,60,-122.5029,37.9253,80.9009,149.2957,46.1544,1.2764,
Martinez RS,MRS_T1_20,T1,20,-122.1421,38.0221,173.6961,181.2982,97.8984,,
Martinez RS,MRS_T1_40,T1,40,-122.1421,38.0223,193.0104,199.0548,89.5010,,
Martinez RS,MRS_T1_60,T1,60,-122.1420,38.0224,211.9691,217.2257,83.0329,,
Martinez RS,MRS_T1_80,T1,80,-122.1420,38.0226,230.1874,235.6728,81.1924,,
Martinez RS,MRS_T1_100,T1,100,-122.1420,38.0228,248.4290,254.3729,84.1188,,
Martinez RS,MRS_T1_120,T1,120,-122.1419,38.0230,266.6473,273.2418,87.2688,,
Martinez RS,MRS_T1_140,T1,140,-122.1419,38.0231,284.8888,292.2751,88.8776,,
Martinez RS,MRS_T1_160,T1,160,-122.1419,38.0233,285.4709,311.4179,71.0205,,
Martinez RS,MRS_T2_20,T2,20,-122.1398,38.0238,119.1125,187.0586,15.3982,,
Martinez RS,MRS_T2_40,T2,40,-122.1401,38.0238,126.7547,203.5199,31.5093,,
Martinez RS,MRS_T2_60,T2,60,-122.1403,38.0239,136.7785,219.8599,48.1037,,
Martinez RS,MRS_T2_80,T2,80,-122.1405,38.0239,148.8874,236.2822,41.7568,,
Martinez RS,MRS_T2_100,T2,100,-122.1407,38.0240,162.5717,252.7044,33.9211,,
Martinez RS,MRS_T2_120,T2,120,-122.1409,38.0240,177.4353,269.0833,26.2564,,
Martinez RS,MRS_T2_140,T2,140,-122.1412,38.0240,193.2065,285.5055,17.9277,,
Martinez RS,MRS_T2_160,T2,160,-122.1414,38.0241,209.1528,302.1275,6.4873,,
McLaughlin Shoreline,MCL_T1_20,T1,20,-122.2982,37.8369,98.5747,79.6935,13.6760,1.6870,
McLaughlin Shoreline,MCL_T1_40,T1,40,-122.2983,37.8370,90.2282,71.5532,13.2854,1.6905,
McLaughlin Shoreline,MCL_T1_60,T1,60,-122.2984,37.8370,81.4041,62.9001,9.6241,1.7035,
McLaughlin Shoreline,MCL_T1_80,T1,80,-122.2986,37.8371,67.4831,49.3296,13.6259,1.7458,
McLaughlin Shoreline,MCL_T1_100,T1,100,-122.2987,37.8372,56.4936,38.6620,12.5802,1.7539,
McNabney,MCN_T1_20,T1,20,-122.1055,38.0254,289.9645,43.9986,40.7532,,
McNabney,MCN_T1_40,T1,40,-122.1054,38.0253,276.4641,63.4788,55.0296,,
McNabney,MCN_T1_60,T1,60,-122.1054,38.0251,263.0066,82.9590,39.9239,,
McNabney,MCN_T1_80,T1,80,-122.1053,38.0249,249.5006,102.5507,29.9448,,
McNabney,MCN_T1_100,T1,100,-122.1052,38.0247,236.0431,122.0263,25.9146,,
McNabney,MCN_T1_120,T1,120,-122.1052,38.0246,222.6256,141.5066,30.0973,,
McNabney,MCN_T1_140,T1,140,-122.1051,38.0244,208.8343,160.9822,27.6201,,
McNabney,MCN_T1_160,T1,160,-122.1051,38.0242,195.0431,155.9479,33.2829,,
McNabney,MCN_T2_20,T2,20,-122.1049,38.0250,280.3618,92.9715,5.2340,,
McNabney,MCN_T2_40,T2,40,-122.1047,38.0251,290.7358,89.8489,7.7221,,
McNabney,MCN_T2_60,T2,60,-122.1045,38.0251,301.4429,88.2190,4.3718,,
MLK,MLK_T1_20,T1,20,-122.2049,37.7382,44.2019,163.9141,4.4781,2.5263,
MLK,MLK_T1_40,T1,40,-122.2050,37.7384,46.8245,166.8552,11.3725,2.2297,
MLK,MLK_T1_60,T1,60,-122.2052,37.7385,49.4536,169.8034,16.5492,1.8610,
MLK,MLK_T1_80,T1,80,-122.2055,37.7382,86.9515,207.1416,9.0925,1.7708,
MLK,MLK_T1_100,T1,100,-122.2058,37.7381,122.6793,243.0117,11.3110,1.7785,
MLK,MLK_T1_120,T1,120,-122.2061,37.7383,128.2006,248.9929,35.0624,1.7392,
MLK,MLK_T1_140,T1,140,-122.2064,37.7384,142.3601,263.5650,10.0853,1.7953,
MLK,MLK_T1_160,T1,160,-122.2067,37.7383,168.8840,290.1548,19.9296,1.7509,
MLK,MLK_T1_180,T1,180,-122.2068,37.7380,196.7638,317.6982,45.1682,1.8372,
MLK,MLK_T1_200,T1,200,-122.2071,37.7379,228.2353,349.2993,51.3812,1.8055,
MLK,MLK_T2_20,T2,20,-122.2077,37.7379,266.4448,388.0167,9.0177,1.9108,
MLK,MLK_T2_40,T2,40,-122.2079,37.7381,267.4035,389.4120,6.8388,1.8791,
MLK,MLK_T2_60,T2,60,-122.2080,37.7382,268.1503,390.5204,6.0880,1.8787,
MLK,MLK_T2_80,T2,80,-122.2082,37.7383,274.3743,396.9895,7.0380,1.9667,
MLK,MLK_T2_100,T2,100,-122.2085,37.7383,298.4626,411.5873,4.5820,2.2796,
MLK,MLK_T2_120,T2,120,-122.2086,37.7381,315.5234,433.5422,8.1365,1.7622,
MLK,MLK_T2_140,T2,140,-122.2083,37.7380,306.5769,428.7730,8.4845,1.7349,
Mountain View Slough,MVS_T1_40,T1,40,-122.0817,37.4496,1620.3433,2243.4329,39.4138,2.1572,
Mountain View Slough,MVS_T1_60,T1,60,-122.0816,37.4497,1635.0241,2263.2082,59.3522,2.1653,
Mountain View Slough,MVS_T1_80,T1,80,-122.0815,37.4499,1649.7110,2282.8993,79.1867,2.1416,
Mountain View Slough,MVS_T1_100,T1,100,-122.0814,37.4500,1664.6151,2302.6843,99.1251,2.1684,
Mountain View Slough,MVS_T1_120,T1,120,-122.0813,37.4502,1679.5409,2322.3321,118.9283,2.1702,
Mountain View Slough,MVS_T1_140,T1,140,-122.0812,37.4504,1694.6559,2342.1263,119.9902,2.1862,
Mountain View Slough,MVS_T2_40,T2,40,-122.0795,37.4489,1500.3273,2292.0725,35.9948,2.1792,
Mountain View Slough,MVS_T2_60,T2,60,-122.0795,37.4490,1519.5303,2311.5268,55.3265,2.1637,
Mountain View Slough,MVS_T2_80,T2,80,-122.0795,37.4492,1538.7533,2330.9901,47.1706,2.1805,
Mountain View Slough,MVS_T2_100,T2,100,-122.0794,37.4494,1557.9956,2350.4623,35.3192,2.2115,
Mundy,MUN_T1_20,T1,20,-122.1035,37.4587,196.8490,186.7658,16.9099,2.2304,
Mundy,MUN_T1_40,T1,40,-122.1033,37.4587,214.3902,202.8295,34.5611,2.2357,
Mundy,MUN_T1_60,T1,60,-122.1031,37.4588,232.3286,219.5270,52.3022,2.2260,
Mundy,MUN_T1_80,T1,80,-122.1029,37.4589,250.5848,236.7430,66.9267,2.2352,
Mundy,MUN_T1_100,T1,100,-122.1027,37.4590,269.0061,254.2835,63.6928,2.2454,
Mundy,MUN_T1_120,T1,120,-122.1025,37.4591,287.7201,272.2455,64.7535,2.2351,
Mundy,MUN_T1_140,T1,140,-122.1023,37.4591,306.5868,290.4736,71.4972,2.2366,
Mundy,MUN_T1_160,T1,160,-122.1021,37.4592,325.5161,308.8390,82.7278,2.2344,
Mundy,MUN_T1_180,T1,180,-122.1019,37.4593,344.6484,327.4786,83.4891,2.2252,
Mundy,MUN_T1_200,T1,200,-122.1017,37.4594,363.8778,346.2740,69.4949,2.2202,
Mundy,MUN_T2_20,T2,20,-122.1079,37.4600,106.4717,226.6618,5.8298,2.1595,
Mundy,MUN_T2_40,T2,40,-122.1077,37.4600,103.2223,214.9102,19.0907,2.2300,
Mundy,MUN_T2_60,T2,60,-122.1075,37.4601,103.7989,203.0652,32.2570,2.2516,
Mundy,MUN_T2_80,T2,80,-122.1073,37.4601,108.1403,191.3419,44.3051,2.2719,
Mundy,MUN_T2_100,T2,100,-122.1070,37.4602,114.7441,180.7581,55.8552,2.2378,
Mundy,MUN_T2_120,T2,120,-122.1068,37.4602,121.5280,171.9404,65.7434,2.2259,
Mundy,MUN_T2_140,T2,140,-122.1066,37.4603,128.3158,165.0885,62.3141,2.2221,
Munster Property,MUP_T1_20,T1,20,-122.0864,37.5842,240.6042,319.8590,206.7953,1.1780,
Munster Property,MUP_T1_40,T1,40,-122.0863,37.5844,255.9557,305.2367,227.4910,1.0879,
Munster Property,MUP_T1_60,T1,60,-122.0863,37.5846,246.4262,294.9470,246.0438,1.1853,
Munster Property,MUP_T1_80,T1,80,-122.0863,37.5848,233.9318,282.4355,233.9318,1.3176,
Munster Property,MUP_T1_100,T1,100,-122.0863,37.5850,224.8478,273.3215,224.8478,1.1836,
Munster Property,MUP_T1_120,T1,120,-122.0863,37.5852,213.4307,261.7511,213.4307,1.2935,
Munster Property,MUP_T1_140,T1,140,-122.0862,37.5854,201.9139,250.0847,201.9139,1.3046,
Munster Property,MUP_T1_160,T1,160,-122.0862,37.5855,190.2780,238.3058,190.2780,1.2580,
Munster Property,MUP_T1_180,T1,180,-122.0862,37.5857,180.1927,227.8022,179.9172,1.1908,
Munster Property,MUP_T1_200,T1,200,-122.0861,37.5859,169.0777,216.1992,168.4609,1.2038,
Munster Property,MUP_T2_20,T2,20,-122.0870,37.5863,223.6824,268.7683,155.4789,1.1883,
Munster Property,MUP_T2_40,T2,40,-122.0872,37.5864,231.9011,276.4827,149.1275,1.1969,
Munster Property,MUP_T2_60,T2,60,-122.0874,37.5865,236.5967,283.4120,143.0164,1.2047,
Munster Property,MUP_T2_80,T2,80,-122.0876,37.5867,216.9652,285.1346,136.8892,1.1447,
Munster Property,MUP_T2_100,T2,100,-122.0877,37.5868,199.0362,286.9982,130.1954,1.1496,
Munster Property,MUP_T2_120,T2,120,-122.0879,37.5869,181.8254,289.8890,123.2541,1.1747,
Munster Property,MUP_T2_140,T2,140,-122.0880,37.5870,165.5997,294.8947,117.0541,1.0935,
Munster Property,MUP_T2_160,T2,160,-122.0882,37.5871,150.8136,302.0582,111.7472,1.1631,
Munster Property,MUP_T2_180,T2,180,-122.0884,37.5873,136.4349,309.8603,105.8033,1.3015,
Munster Property,MUP_T2_200,T2,200,-122.0886,37.5874,124.0212,317.6906,100.2619,1.1448,
Muzzi North,MZN_T1_20,T1,20,-122.5079,37.9324,374.3658,421.9099,22.8670,1.6466,
Muzzi North,MZN_T1_40,T1,40,-122.5077,37.9324,393.7579,439.3675,42.8880,1.6787,
Muzzi North,MZN_T1_60,T1,60,-122.5074,37.9323,413.1501,457.0363,62.9090,1.6171,
Muzzi North,MZN_T1_80,T1,80,-122.5072,37.9323,432.4555,474.8015,82.8422,1.6602,
Muzzi North,MZN_T1_100,T1,100,-122.5070,37.9323,451.8477,492.7093,102.8633,1.7328,
Muzzi North,MZN_T1_120,T1,120,-122.5068,37.9323,471.2399,510.7562,122.8843,1.6521,
Muzzi North,MZN_T1_140,T1,140,-122.5065,37.9323,490.5455,528.8633,129.2909,1.6368,
Muzzi North,MZN_T2_20,T2,20,-122.5073,37.9366,488.7498,740.5765,0.5091,1.8930,
Muzzi North,MZN_T2_40,T2,40,-122.5074,37.9364,494.0310,733.0160,3.2142,1.7041,
Muzzi North,MZN_T2_60,T2,60,-122.5073,37.9362,506.6517,724.2770,5.7127,1.8889,
Muzzi North,MZN_T2_80,T2,80,-122.5072,37.9360,521.7017,709.7326,14.7635,1.7431,
Muzzi South,MZS_T1_20,T1,20,-122.5104,37.9269,77.4831,67.8072,27.2536,1.6915,
Muzzi South,MZS_T1_40,T1,40,-122.5102,37.9269,95.2283,86.1710,47.2166,1.7021,
Muzzi South,MZS_T1_60,T1,60,-122.5100,37.9268,113.5887,104.6644,67.2135,1.6923,
Muzzi South,MZS_T1_80,T1,80,-122.5097,37.9268,132.3755,123.1577,87.2141,1.6944,
Muzzi South,MZS_T1_100,T1,100,-122.5095,37.9267,151.2042,141.6512,107.2162,1.6971,
Muzzi South,MZS_T1_120,T1,120,-122.5093,37.9267,170.0330,160.2614,127.2193,1.6950,
Muzzi South,MZS_T1_140,T1,140,-122.5091,37.9267,188.8619,179.1662,139.0983,1.6922,
Muzzi South,MZS_T1_160,T1,160,-122.5089,37.9266,205.3910,198.2869,141.0806,1.6934,
Muzzi South,MZS_T1_180,T1,180,-122.5086,37.9266,191.4633,217.5668,145.7970,1.7227,
Muzzi South,MZS_T2_20,T2,20,-122.5106,37.9265,57.4572,48.8212,25.9861,1.6724,
Muzzi South,MZS_T2_40,T2,40,-122.5104,37.9264,71.0022,65.1192,39.2527,1.6543,
Muzzi South,MZS_T2_60,T2,60,-122.5102,37.9263,84.5473,78.1595,53.2256,1.6508,
Muzzi South,MZS_T2_80,T2,80,-122.5101,37.9261,98.1020,91.2011,66.9401,1.6882,
Muzzi South,MZS_T2_100,T2,100,-122.5099,37.9260,111.4478,104.1339,59.2605,1.6958,
Muzzi South,MZS_T2_120,T2,120,-122.5097,37.9259,123.8529,117.1455,45.5757,1.7142,
Muzzi South,MZS_T2_140,T2,140,-122.5096,37.9258,135.4938,130.1597,33.6578,1.7108,
Muzzi South,MZS_T2_160,T2,160,-122.5094,37.9257,133.7256,138.5414,25.4900,1.5875,
Muzzi South,MZS_T2_180,T2,180,-122.5092,37.9255,119.8101,127.1185,22.3654,1.6665,
Muzzi South,MZS_T2_200,T2,200,-122.5091,37.9254,102.6448,116.9446,26.0342,1.6371,
New Chicago,NCH_T1_20,T1,20,-121.9606,37.4388,229.1864,843.3419,23.1377,0.6603,
New Chicago,NCH_T1_40,T1,40,-121.9607,37.4386,248.1107,827.0944,9.7207,0.4609,
New Chicago,NCH_T1_60,T1,60,-121.9609,37.4385,267.0351,809.8566,2.0753,0.3638,
New Chicago,NCH_T1_80,T1,80,-121.9610,37.4384,283.8336,792.1647,1.2772,0.2505,
New Chicago,NCH_T1_100,T1,100,-121.9620,37.4389,334.4157,764.9887,3.7786,0.2069,
New Chicago,NCH_T1_120,T1,120,-121.9622,37.4388,356.3813,745.0771,2.9497,0.1971,
New Chicago,NCH_T2_20,T2,20,-121.9608,37.4393,218.6377,875.0267,26.8288,0.5023,
New Chicago,NCH_T2_40,T2,40,-121.9610,37.4394,224.3358,875.6915,41.7591,0.5128,
New Chicago,NCH_T2_60,T2,60,-121.9611,37.4396,231.5950,876.4326,39.6743,0.5015,
New Chicago,NCH_T2_80,T2,80,-121.9613,37.4397,240.2605,877.1618,27.2008,0.4843,
New Chicago,NCH_T2_100,T2,100,-121.9614,37.4399,250.3085,877.8267,14.3279,0.4711,
Newark Mouse Pasture,NMP_T1_20,T1,20,-121.9355,37.4651,48.7509,228.3181,15.8778,1.1722,
Newark Mouse Pasture,NMP_T1_40,T1,40,-121.9356,37.4649,65.5284,244.3798,35.8207,1.1167,
Newark Mouse Pasture,NMP_T1_60,T1,60,-121.9356,37.4647,82.2534,260.8546,55.7512,1.0626,
Newark Mouse Pasture,NMP_T2_20,T2,20,-121.9337,37.4642,29.4697,204.6610,15.0721,1.2241,
Newark Mouse Pasture,NMP_T2_40,T2,40,-121.9336,37.4640,39.6260,214.3832,30.5732,1.3894,
Newark Mouse Pasture,NMP_T2_60,T2,60,-121.9335,37.4639,49.7304,224.0477,43.5752,1.2665,
Newark Mouse Pasture,NMP_T2_80,T2,80,-121.9333,37.4635,70.0809,243.5234,36.9556,1.1571,
Novato Creek,NOV_T1_20,T1,20,-122.5554,38.0965,108.1090,297.4452,40.6956,1.5399,
Novato Creek,NOV_T1_40,T1,40,-122.5551,38.0966,120.9148,304.3690,43.1961,1.4246,
Novato Creek,NOV_T1_60,T1,60,-122.5549,38.0966,137.4809,314.9722,46.1932,1.3656,
Novato Creek,NOV_T1_80,T1,80,-122.5546,38.0967,155.4920,325.9596,45.9912,1.3842,
Novato Creek,NOV_T1_100,T1,100,-122.5544,38.0967,175.1887,337.0521,46.3317,1.1921,
Novato Creek,NOV_T1_120,T1,120,-122.5542,38.0968,192.9834,347.3033,46.9082,1.1820,
Novato Creek,NOV_T1_140,T1,140,-122.5539,38.0968,212.0403,358.8717,48.8471,1.1619,
Novato Creek,NOV_T1_160,T1,160,-122.5537,38.0969,230.3501,371.1212,51.7742,1.1413,
Novato Creek,NOV_T1_180,T1,180,-122.5535,38.0969,251.3142,384.4484,55.6357,1.2372,
Novato Creek,NOV_T1_200,T1,200,-122.5532,38.0970,241.9472,398.6231,60.9207,1.1272,
Novato Creek,NOV_T2_20,T2,20,-122.5512,38.0972,247.0974,472.0612,3.2010,2.1512,
Novato Creek,NOV_T2_40,T2,40,-122.5514,38.0971,249.0706,480.4465,7.2138,1.9225,
Novato Creek,NOV_T2_60,T2,60,-122.5516,38.0970,252.8175,476.7338,8.4931,1.9832,
Novato Creek,NOV_T2_80,T2,80,-122.5518,38.0969,257.5630,458.0338,8.7159,2.3342,
Novato Creek,NOV_T2_100,T2,100,-122.5520,38.0968,263.8415,439.7359,8.4416,2.2429,
Novato Creek,NOV_T2_120,T2,120,-122.5522,38.0967,269.9762,421.5067,8.9324,2.7478,
Novato Creek,NOV_T2_140,T2,140,-122.5524,38.0966,278.8646,402.8043,6.5231,2.0655,
Novato Creek,NOV_T2_160,T2,160,-122.5526,38.0965,283.7001,387.0355,8.4794,2.2960,
Novato Creek,NOV_T2_180,T2,180,-122.5528,38.0965,273.0227,373.0411,11.0745,2.6976,
Novato Creek,NOV_T2_200,T2,200,-122.5531,38.0965,254.7440,360.3070,9.3773,2.3524,
Oakland Airport,OAK_T1_20,T1,20,-122.2057,37.7148,9.2384,124.5727,9.2384,-0.3449,
Oakland Airport,OAK_T1_40,T1,40,-122.2056,37.7150,30.6777,146.3761,30.6777,-0.3299,
Oakland Airport,OAK_T1_60,T1,60,-122.2054,37.7151,50.7079,166.8067,50.7079,-0.3228,
Oakland Airport,OAK_T1_80,T1,80,-122.2052,37.7152,70.9302,187.4748,70.9302,-0.3124,
Oakland Airport,OAK_T1_100,T1,100,-122.2050,37.7153,76.5784,193.3329,76.5784,-0.3347,
Oakland Airport,OAK_T1_120,T1,120,-122.2049,37.7154,71.9582,193.5010,71.9582,-0.3550,
Oakland Airport,OAK_T1_140,T1,140,-122.2047,37.7156,67.8616,190.9213,67.8616,-0.3387,
Oakland Airport,OAK_T1_160,T1,160,-122.2045,37.7157,64.4317,184.5469,64.4317,-0.2912,
Oakland Airport,OAK_T1_180,T1,180,-122.2044,37.7158,58.2600,180.3237,58.2600,-0.2811,
Oakland Airport,OAK_T1_200,T1,200,-122.2042,37.7159,57.5994,177.6786,57.5994,-0.2453,
Oakland Airport,OAK_T2_20,T2,20,-122.2043,37.7167,39.9393,112.9231,39.9393,-0.1915,
Oakland Airport,OAK_T2_40,T2,40,-122.2041,37.7166,47.1548,132.9929,47.1548,-0.2234,
Oakland Airport,OAK_T2_60,T2,60,-122.2039,37.7166,54.4603,154.5943,54.4603,-0.2552,
Oakland Airport,OAK_T2_80,T2,80,-122.2036,37.7165,54.3872,176.0292,54.3872,-0.2613,
Oakland Airport,OAK_T2_100,T2,100,-122.2034,37.7165,56.0626,193.8252,56.0626,-0.2162,
Oakland Airport,OAK_T2_120,T2,120,-122.2032,37.7164,61.9183,210.1388,61.9183,-0.2115,
Oakland Airport,OAK_T2_140,T2,140,-122.2030,37.7163,69.8633,225.6640,69.8633,-0.1652,
Oakland Airport,OAK_T2_160,T2,160,-122.2027,37.7163,63.7327,240.6135,63.7327,-0.1611,
Oakland Airport,OAK_T2_180,T2,180,-122.2025,37.7162,54.7654,255.1591,54.7654,-0.1312,
Oakland Airport,OAK_T2_200,T2,200,-122.2022,37.7162,42.4779,275.4366,42.4779,-0.1650,
Piper Park,LPP_T1_20,T1,20,-122.5301,37.9414,12.6855,312.8759,12.6855,1.7818,
Piper Park,LPP_T1_40,T1,40,-122.5304,37.9413,27.9637,307.2429,27.9637,1.7200,
Piper Park,LPP_T1_60,T1,60,-122.5306,37.9413,43.2420,287.5635,43.2420,1.7148,
Piper Park,LPP_T1_80,T1,80,-122.5308,37.9413,58.8460,268.0235,58.8460,1.7158,
Piper Park,LPP_T1_100,T1,100,-122.5310,37.9412,68.9001,248.4595,68.9001,1.7205,
Piper Park,LPP_T1_120,T1,120,-122.5313,37.9412,68.6447,228.9757,68.6447,1.7060,
Piper Park,LPP_T1_140,T1,140,-122.5315,37.9412,70.0083,209.6888,70.0083,1.7114,
Piper Park,LPP_T1_160,T1,160,-122.5317,37.9411,71.4589,190.4444,71.4589,1.7084,
Piper Park,LPP_T1_180,T1,180,-122.5319,37.9411,72.7011,171.3795,72.7011,1.7132,
Piper Park,LPP_T2_20,T2,20,-122.5278,37.9433,29.9480,135.9488,29.9480,1.7127,
Piper Park,LPP_T2_40,T2,40,-122.5282,37.9436,8.5697,168.8256,8.5697,1.6828,
Piper Park,LPP_T2_60,T2,60,-122.5285,37.9436,2.1350,165.8176,2.1350,1.7309,
Piper Park,LPP_T2_80,T2,80,-122.5286,37.9436,5.2478,170.2112,5.2478,1.7993,
Plummer Slough Bridge,PLU_T1_20,T1,20,-122.0552,37.5140,289.5810,305.9007,10.7246,2.1624,
Plummer Slough Bridge,PLU_T1_40,T1,40,-122.0552,37.5139,296.4790,312.7498,11.8159,1.9728,
Plummer Slough Bridge,PLU_T1_60,T1,60,-122.0552,37.5137,302.4868,319.8423,18.0873,1.9727,
Plummer Slough Bridge,PLU_T1_80,T1,80,-122.0551,37.5135,310.1625,328.9792,18.1959,2.1224,
Plummer Slough Bridge,PLU_T1_100,T1,100,-122.0551,37.5133,316.9205,336.7403,19.2233,2.1292,
Plummer Slough Bridge,PLU_T1_120,T1,120,-122.0550,37.5132,325.7555,346.6816,21.0436,2.0995,
Plummer Slough Bridge,PLU_T1_140,T1,140,-122.0550,37.5130,335.2037,357.1094,22.9316,2.1675,
Plummer Slough Bridge,PLU_T1_160,T1,160,-122.0549,37.5128,344.5699,367.2414,24.4940,2.1610,
Plummer Slough Bridge,PLU_T1_180,T1,180,-122.0549,37.5126,355.5577,378.9629,26.2417,2.1725,
Plummer Slough Bridge,PLU_T1_200,T1,200,-122.0548,37.5124,368.1097,392.1474,27.3071,2.1668,
Plummer Slough Bridge,PLU_T2_20,T2,20,-122.0546,37.5140,245.0269,261.8535,44.8665,2.0955,
Plummer Slough Bridge,PLU_T2_40,T2,40,-122.0544,37.5140,225.5659,242.9737,44.9900,2.1618,
Plummer Slough Bridge,PLU_T2_60,T2,60,-122.0542,37.5141,206.0605,224.3328,45.6197,2.2504,
Plummer Slough Bridge,PLU_T2_80,T2,80,-122.0540,37.5141,187.4065,206.4782,46.4112,2.4810,
Plummer Slough Bridge,PLU_T2_100,T2,100,-122.0537,37.5141,167.5840,187.6532,47.2958,2.6236,
Plummer Slough Bridge,PLU_T2_120,T2,120,-122.0535,37.5142,148.8756,170.0189,40.7613,2.1410,
Plummer Slough Bridge,PLU_T2_140,T2,140,-122.0533,37.5142,131.1294,153.4414,35.5477,2.1915,
Plummer Slough Bridge,PLU_T2_160,T2,160,-122.0530,37.5142,114.6568,138.4928,32.7283,2.1351,
Plummer Slough Bridge,PLU_T2_180,T2,180,-122.0528,37.5143,98.8615,124.2453,24.1321,2.1846,
Plummer Slough Bridge,PLU_T2_200,T2,200,-122.0526,37.5143,85.4602,111.9263,11.8613,2.3029,
Point Pinole,PTP_T1_20,T1,20,-122.3559,38.0053,584.2209,555.4829,9.7634,2.2897,
Point Pinole,PTP_T1_40,T1,40,-122.3558,38.0055,599.0290,573.7149,16.4703,1.8733,
Point Pinole,PTP_T1_60,T1,60,-122.3558,38.0056,614.8024,593.1511,29.0386,1.7534,
Point Pinole,PTP_T1_80,T1,80,-122.3558,38.0058,630.3007,612.8412,40.2402,1.7647,
Point Pinole,PTP_T1_100,T1,100,-122.3557,38.0060,641.5878,629.6185,34.0410,1.7699,
Point Pinole,PTP_T1_120,T1,120,-122.3556,38.0062,657.2017,649.0506,40.0938,1.7799,
Point Pinole,PTP_T1_140,T1,140,-122.3556,38.0064,674.9129,670.0066,45.1447,1.8086,
Point Pinole,PTP_T1_160,T1,160,-122.3555,38.0066,690.2530,689.1474,41.2896,1.7733,
Point Pinole,PTP_T1_180,T1,180,-122.3556,38.0068,711.8127,712.6840,41.3048,1.7910,
Point Pinole,PTP_T1_200,T1,200,-122.3554,38.0069,719.5734,726.6554,61.0838,1.7680,
Point Pinole,PTP_T2_20,T2,20,-122.3555,38.0075,780.0147,789.1206,57.1707,1.8757,
Point Pinole,PTP_T2_40,T2,40,-122.3553,38.0075,767.3171,782.4601,65.7764,1.7567,
Point Pinole,PTP_T2_60,T2,60,-122.3550,38.0074,751.7252,773.5698,79.0214,1.7576,
